lat,lng,pricePersqft
16.57996,82.00455,3366.6666666666665
29.34243,76.29568,4133.333333333333
17.80147,83.22367,3150.0
16.57995,82.00763,4100.0
17.88938,83.45031,3083.3333333333335
17.93246,83.42684,3166.6666666666665
17.73291,83.27524,3416.6666666666665
16.57996,82.00455,6516.666666666667
16.57996,82.00455,5400.0
16.57996,82.00455,5300.0
17.69165,83.1647,3383.3333333333335
9.28657,79.29954,6533.333333333333
17.80368,83.33904,3833.3333333333335
17.73196,83.33749,6033.333333333333
17.73421,83.29713,5766.666666666667
16.68055,81.91117,3083.3333333333335
38.89037,-77.03196,5483.333333333333
17.74557,83.22813,3250.0
17.80817,83.34362,4066.6666666666665
16.57996,82.00455,3616.6666666666665
17.72862,83.29206,4866.666666666667
16.57996,82.00455,3766.6666666666665
16.57996,82.00455,2850.0
17.52403,78.42262,6133.333333333333
16.57996,82.00455,6400.0
17.80187,83.35313,4225.0
13.02391,80.20299,5700.0
26.20748,-80.10254,7650.0
38.89037,-77.03196,3350.0
16.57996,82.00455,6450.0
16.57996,82.00455,6500.0
18.4532,83.89568,3700.0
17.74794,83.26313,4425.0
16.57996,82.00455,3000.0
17.73955,83.3208,5533.333333333333
16.57996,82.00455,4966.666666666667
16.57996,82.00455,4983.333333333333
17.68835,83.11955,2050.0
17.8197,83.19855,3366.6666666666665
6.2376,80.16205,4133.333333333333
17.80147,83.22367,3150.0
14.68611,77.5991,4100.0
17.88938,83.45031,3083.3333333333335
17.93246,83.42684,3166.6666666666665
17.73803,83.10161,3416.6666666666665
17.74346,82.98943,6516.666666666667
17.68977,83.00222,5400.0
17.80483,83.35487,5300.0
17.6828,83.02748,3383.3333333333335
17.6834,82.98389,6533.333333333333
17.68751,83.01203,3833.3333333333335
17.73196,83.33749,6033.333333333333
17.74044,83.29878,5766.666666666667
17.69165,83.1647,3083.3333333333335
38.89037,-77.03196,5483.333333333333
17.74557,83.22813,3250.0
17.80817,83.34362,4066.6666666666665
17.68977,83.00222,3616.6666666666665
17.72862,83.29206,4866.666666666667
17.68977,83.00222,3766.6666666666665
17.75339,82.95192,2850.0
17.75081,83.03909,6133.333333333333
17.68977,83.00222,6400.0
17.80187,83.35313,4225.0
13.02391,80.20299,5700.0
26.20748,-80.10254,7650.0
17.6834,82.98389,3350.0
17.68977,83.00222,6450.0
17.68977,83.00222,6500.0
18.4532,83.89568,3700.0
23.67606,90.92043,4425.0
17.68977,83.00222,3000.0
17.73955,83.3208,5533.333333333333
17.74616,83.06717,4966.666666666667
17.68977,83.00222,4983.333333333333
17.69325,83.00457,2050.0
14.16461,77.8118,2366.6666666666665
17.58203,78.42809,4533.333333333333
22.56069,72.95367,5500.0
38.89037,-77.03196,5366.666666666667
38.89037,-77.03196,8466.666666666666
38.89037,-77.03196,4516.666666666667
17.39748,78.48035,4616.666666666667
38.89037,-77.03196,14600.0
17.49918,78.33898,4900.0
17.42671,78.62082,3783.3333333333335
38.89037,-77.03196,3283.3333333333335
17.33771,78.42567,9133.333333333334
17.54604,78.29801,3416.6666666666665
17.53703,78.35077,4275.0
51.27439,5.57633,3183.3333333333335
17.27185,78.58371,3233.3333333333335
38.89037,-77.03196,3316.6666666666665
17.33522,78.42652,4683.333333333333
17.29321,78.52583,3916.6666666666665
38.89037,-77.03196,4333.333333333333
15.69071,77.33179,5225.0
24.9076,88.75895,4350.0
17.50468,78.36114,5200.0
17.54156,78.22944,2900.0
19.05626,74.8207,5166.666666666667
17.31876,78.55844,4866.666666666667
38.89037,-77.03196,5150.0
21.10908,79.05401,8400.0
23.18667,77.45605,4150.0
13.98448,77.77049,3300.0
16.47391,80.59888,3300.0
16.42504,80.57636,3716.6666666666665
16.32008,80.41256,2775.0
16.53006,81.72694,3716.6666666666665
16.303,80.42521,4400.0
13.08607,80.20301,3400.0
28.65919,77.44102,3300.0
15.90824,80.47289,3550.0
17.88938,83.45031,3366.6666666666665
17.88938,83.45031,4133.333333333333
17.88938,83.45031,3150.0
17.9283,83.42346,4100.0
17.90589,83.42617,3083.3333333333335
17.91922,83.43502,3166.6666666666665
17.88938,83.45031,3416.6666666666665
17.82472,83.38942,6516.666666666667
17.88938,83.45031,5400.0
17.82365,83.39155,5300.0
17.88938,83.45031,3383.3333333333335
